rank,symbol,company,market_cap,sector
472,HSIC,Henry Schein Inc,$7.58 Billion,Healthcare
473,MOS,The Mosaic Company,$7.56 Billion,Basic Materials
474,ERIE,Erie Indemnity Company,$7.14 Billion,Financial Services
475,FDS,FactSet Research Systems Inc,$7.10 Billion,Financial Services
476,MTCH,Match Group Inc,$7.07 Billion,Communication Services
477,MGM,MGM Resorts International,$7.04 Billion,Consumer Cyclical
478,HRL,Hormel Foods Corporation,$6.81 Billion,Consumer Defensive
479,MHK,Mohawk Industries Inc,$6.74 Billion,Consumer Cyclical
480,MOH,Molina Healthcare Inc,$6.50 Billion,Healthcare
481,MKTX,MarketAxess Holdings Inc,$6.37 Billion,Financial Services
482,KMX,CarMax Inc,$5.96 Billion,Consumer Cyclical
483,PAYC,"Paycom Software, Inc.",$5.92 Billion,Technology
484,LW,Lamb Weston Holdings Inc,$5.83 Billion,Consumer Defensive
485,ENPH,Enphase Energy Inc,$5.79 Billion,Technology
486,CPB,Campbell’s Co,$5.68 Billion,Consumer Defensive
487,DVA,DaVita HealthCare Partners Inc,$5.60 Billion,Healthcare
488,CZR,Caesars Entertainment Corporation,$3.66 Billion,Consumer Cyclical
489,MKC,McCormick & Company Incorporated,-,Consumer Defensive
490,GOOGL,Alphabet Inc Class A,-,Communication Services
491,WMT,Walmart Inc,-,Consumer Defensive
492,FOX,Fox Corp Class B,-,Communication Services
493,KIM,Kimco Realty Corporation,-,Real Estate
494,EXPD,"Expeditors International of Washington, Inc.",-,Industrials
495,NWSA,News Corp A,-,Communication Services
496,HBAN,Huntington Bancshares Incorporated,-,Financial Services
497,FI,"Fiserv, Inc.",-,Technology
498,BRK,Berkshire Hathaway Inc,-,Financial Services
499,HWM,Howmet Aerospace Inc,-,Industrials
500,PARA,Paramount Global Class B,-,Communication Services
501,AMCR,Amcor PLC,-,Consumer Cyclical
