rank,symbol,company,market_cap,sector
149,FCX,Freeport-McMoran Copper & Gold Inc,$69.08 Billion,Basic Materials
150,RSG,Republic Services Inc,$68.31 Billion,Industrials
151,TEL,TE Connectivity Ltd,$68.22 Billion,Technology
152,COR,Cencora Inc.,$67.17 Billion,Healthcare
153,GM,General Motors Company,$66.96 Billion,Consumer Cyclical
154,AON,Aon PLC,$66.93 Billion,Financial Services
155,CTAS,Cintas Corporation,$66.13 Billion,Industrials
156,PWR,Quanta Services Inc,$66.00 Billion,Industrials
157,WBD,Warner Bros Discovery Inc,$65.61 Billion,Communication Services
158,PCAR,PACCAR Inc,$65.41 Billion,Industrials
159,AEP,American Electric Power Co Inc,$64.82 Billion,Utilities
160,TFC,Truist Financial Corp,$63.90 Billion,Financial Services
161,SPG,Simon Property Group Inc,$63.52 Billion,Real Estate
162,CL,Colgate-Palmolive Company,$62.85 Billion,Consumer Defensive
163,KMI,Kinder Morgan Inc,$62.66 Billion,Energy
164,ROST,Ross Stores Inc,$62.10 Billion,Consumer Cyclical
165,MSI,Motorola Solutions Inc,$61.87 Billion,Technology
166,TRV,The Travelers Companies Inc,$61.06 Billion,Financial Services
167,EOG,EOG Resources Inc,$59.73 Billion,Energy
168,DASH,"DoorDash, Inc. Class A Common Stock",$59.58 Billion,Communication Services
169,BKR,Baker Hughes Co,$58.85 Billion,Energy
170,APD,Air Products and Chemicals Inc,$58.70 Billion,Basic Materials
171,AFL,Aflac Incorporated,$58.57 Billion,Financial Services
172,NXPI,NXP Semiconductors NV,$57.71 Billion,Technology
173,APO,Apollo Global Management LLC Class A,$57.34 Billion,Financial Services
174,SLB,Schlumberger NV,$57.22 Billion,Energy
175,SRE,Sempra Energy,$57.10 Billion,Utilities
176,MNST,Monster Beverage Corp,$56.78 Billion,Consumer Defensive
177,AZO,AutoZone Inc,$56.74 Billion,Consumer Cyclical
178,PSX,Phillips 66,$55.65 Billion,Energy
179,DLR,Digital Realty Trust Inc,$55.29 Billion,Real Estate
180,URI,United Rentals Inc,$55.11 Billion,Industrials
181,F,Ford Motor Company,$54.74 Billion,Consumer Cyclical
182,ZTS,Zoetis Inc,$54.45 Billion,Healthcare
183,VST,Vistra Energy Corp,$54.19 Billion,Utilities
184,VLO,Valero Energy Corporation,$54.17 Billion,Energy
185,ALL,The Allstate Corporation,$53.97 Billion,Financial Services
