symbol,company,has_known_patterns,status,pdfs_found,sustainability_page
PANW,Palo Alto Networks Inc,False,no_reports_found,0,https://www.paloaltonetworks.com/esg
BSX,Boston Scientific Corp,False,no_reports_found,0,https://www.bostonscientific.com/sustainability
CMCSA,Comcast Corp,False,no_reports_found,0,
CME,CME Group Inc,False,no_reports_found,0,
MCK,McKesson Corporation,False,no_reports_found,0,
ADBE,Adobe Systems Incorporated,False,no_reports_found,0,
LMT,Lockheed Martin Corporation,False,pdfs_found_on_page,1,https://www.lockheedmartin.com/sustainability
INTU,Intuit Inc,False,pdfs_found_on_page,1,https://www.intuit.com/sustainability
CRWD,Crowdstrike Holdings Inc,False,no_reports_found,0,
GLW,Corning Incorporated,False,no_reports_found,0,
CVS,CVS Health Corp,False,no_reports_found,0,https://www.cvshealth.com/impact
